Date,Equity,DrawdownPct,DrawdownDuration,3 year delta
2006-06-21,10000.0,0.0,,
2006-06-22,10000.0,0.0,,
2006-06-23,10000.0,0.0,,
2006-06-26,10000.0,0.0,,
2006-06-27,10000.0,0.0,,
2006-06-28,10000.0,0.0,,
2006-06-29,10000.0,0.0,,
2006-06-30,10000.0,0.0,,
2006-07-03,10000.0,0.0,,
2006-07-05,10000.0,0.0,,
2006-07-06,10000.0,0.0,,
2006-07-07,10000.0,0.0,,
2006-07-10,10000.0,0.0,,
2006-07-11,10000.0,0.0,,
2006-07-12,10000.0,0.0,,
2006-07-13,10000.0,0.0,,
2006-07-14,10000.0,0.0,,
2006-07-17,10000.0,0.0,,
2006-07-18,10000.0,0.0,,
2006-07-19,10000.0,0.0,,
2006-07-20,10000.0,0.0,,
2006-07-21,10000.0,0.0,,
2006-07-24,10000.0,0.0,,
2006-07-25,10000.0,0.0,,
2006-07-26,10000.0,0.0,,
2006-07-27,10000.0,0.0,,
2006-07-28,10000.0,0.0,,
2006-07-31,10000.0,0.0,,
2006-08-01,10000.0,0.0,,
2006-08-02,10000.0,0.0,,
2006-08-03,10000.0,0.0,,
2006-08-04,10000.0,0.0,,
2006-08-07,10000.0,0.0,,
2006-08-08,10000.0,0.0,,
2006-08-09,10000.0,0.0,,
2006-08-10,10000.0,0.0,,
2006-08-11,10000.0,0.0,,
2006-08-14,10000.0,0.0,,
2006-08-15,10000.0,0.0,,
2006-08-16,10000.0,0.0,,
2006-08-17,10000.0,0.0,,
2006-08-18,10000.0,0.0,,
2006-08-21,10000.0,0.0,,
2006-08-22,10000.0,0.0,,
2006-08-23,10000.0,0.0,,
2006-08-24,10000.0,0.0,,
2006-08-25,10000.0,0.0,,
2006-08-28,10000.0,0.0,,
2006-08-29,10000.0,0.0,,
2006-08-30,10000.0,0.0,,
2006-08-31,9928.9125,0.007108749999999997,,
2006-09-01,9993.5375,0.0006462499999999594,,
2006-09-05,10047.8225,0.0,6 days,
2006-09-06,10016.802500000002,0.0030872360653264597,,
2006-09-07,9807.417500000001,0.023926079506281006,,
2006-09-08,9822.927500000002,0.022382461473617665,,
2006-09-11,9807.417500000001,0.023926079506281006,,
2006-09-12,9890.1375,0.015693449998743447,,
2006-09-13,10082.72,0.0,8 days,
2006-09-14,10121.494999999999,0.0,,
2006-09-15,10239.112500000001,0.0,,
2006-09-18,10173.195,0.006437813824196281,,
2006-09-19,10162.855000000001,0.007447666973089628,,
2006-09-20,10250.744999999999,0.0,5 days,
2006-09-21,10297.275,0.0,,
2006-09-22,10135.7125,0.015689830561969043,,
2006-09-25,10170.61,0.012300827160583672,,
2006-09-26,10276.595,0.002008298311932055,,
2006-09-27,10432.987500000001,0.0,6 days,
2006-09-28,10484.6875,0.0,,
2006-09-29,10458.8375,0.0024655002831510675,,
2006-10-02,10409.7225,0.007149950821138007,,
2006-10-03,10329.5875,0.014793001698906183,,
2006-10-04,10374.825,0.01047837620339176,,
2006-10-05,10646.25,0.0,7 days,
2006-10-06,10569.9925,0.0071628507690501,,
2006-10-09,10601.0125,0.004249148761300892,,
2006-10-10,10641.080000000002,0.00048561700129134966,,
2006-10-11,10602.305,0.004127744510977971,,
2006-10-12,10705.705000000002,0.0,7 days,
2006-10-13,10801.35,0.0,,
2006-10-16,10844.0025,0.0,,
2006-10-17,10827.2,0.0015494740064841972,,
2006-10-18,10966.79,0.0,2 days,
2006-10-19,10819.445,0.013435563186675492,,
2006-10-20,10878.9,0.008014195585034578,,
2006-10-23,10827.2,0.012728428282113513,,
2006-10-24,10995.225,0.0,6 days,
2006-10-25,11035.292500000001,0.0,,
2006-10-26,11178.76,0.0,,
