Date,Open,High,Low,Close,Adj Close,Volume
2006-06-21,8.860000,8.976250,8.852500,8.937500,7.429266,2218400
2006-06-22,8.885000,8.885000,8.782500,8.842500,7.350296,1092800
2006-06-23,8.790000,8.922500,8.766250,8.841250,7.349257,356800
2006-06-26,8.843750,8.896250,8.813750,8.892500,7.391860,301600
2006-06-27,8.921250,8.921250,8.735000,8.735000,7.260940,917600
2006-06-28,8.761250,8.837500,8.712500,8.812500,7.325358,340800
2006-06-29,8.937500,9.186250,8.923750,9.186250,7.636038,534400
2006-06-30,9.251250,9.262500,9.181250,9.181250,7.631882,724800
2006-07-03,9.231250,9.306250,9.220000,9.306250,7.735788,227200
2006-07-05,9.206250,9.221250,9.111250,9.182500,7.632923,592000
2006-07-06,9.212500,9.276250,9.182500,9.211250,7.656822,932800
2006-07-07,9.143750,9.222500,9.060000,9.105000,7.568500,568800
2006-07-10,9.181250,9.216250,9.087500,9.121250,7.582009,576000
2006-07-11,9.081250,9.205000,9.008750,9.198750,7.646428,1540000
2006-07-12,9.188750,9.192500,8.980000,9.017500,7.495766,1025600
2006-07-13,8.896250,8.940000,8.738750,8.745000,7.269251,1390400
2006-07-14,8.717500,8.743750,8.562500,8.666250,7.203790,1208800
2006-07-17,8.678750,8.725000,8.600000,8.657500,7.196515,455200
2006-07-18,8.718750,8.831250,8.513750,8.671250,7.207948,1639200
2006-07-19,8.750000,9.025000,8.748750,8.968750,7.455242,1752000
2006-07-20,9.050000,9.062500,8.843750,8.863750,7.367962,922400
2006-07-21,8.787500,8.826250,8.688750,8.723750,7.251584,1027200
2006-07-24,8.808750,9.017500,8.808750,9.000000,7.481220,1067200
2006-07-25,8.982500,9.161250,8.941250,9.113750,7.575774,1371200
2006-07-26,9.055000,9.192500,9.017500,9.131250,7.590318,1105600
2006-07-27,9.198750,9.225000,9.007500,9.043750,7.517582,1432000
2006-07-28,9.088750,9.282500,9.082500,9.250000,7.689031,903200
2006-07-31,9.250000,9.250000,9.190000,9.225000,7.668249,454400
2006-08-01,9.125000,9.193750,9.056250,9.142500,7.599672,418400
2006-08-02,9.233750,9.318750,9.190000,9.212500,7.657856,586400
2006-08-03,9.125000,9.327500,9.125000,9.258750,7.696304,720800
2006-08-04,9.462500,9.468750,9.175000,9.256250,7.694225,1376800
2006-08-07,9.200000,9.243750,9.162500,9.205000,7.651624,392800
2006-08-08,9.275000,9.292500,9.090000,9.130000,7.589280,461600
2006-08-09,9.213750,9.307500,9.050000,9.060000,7.531095,557600
2006-08-10,9.037500,9.156250,9.001250,9.140000,7.597592,1295200
2006-08-11,9.125000,9.125000,9.012500,9.073750,7.542521,975200
2006-08-14,9.186250,9.345000,9.078750,9.105000,7.568500,772800
2006-08-15,9.246250,9.350000,9.222500,9.328750,7.754491,675200
2006-08-16,9.393750,9.501250,9.383750,9.485000,7.884373,896000
2006-08-17,9.482500,9.573750,9.460000,9.523750,7.916585,1523200
2006-08-18,9.555000,9.587500,9.461250,9.562500,7.948796,665600
2006-08-21,9.500000,9.542500,9.487500,9.517500,7.911391,324800
2006-08-22,9.507500,9.582500,9.468750,9.533750,7.924895,556800
2006-08-23,9.546250,9.575000,9.395000,9.447500,7.853198,498400
2006-08-24,9.512500,9.512500,9.422500,9.482500,7.882294,704000
2006-08-25,9.467500,9.542500,9.447500,9.500000,7.896842,317600
