,Date,UPRO,Unnamed: 2,URPO_PRICES
120,11/7/86,0.0%,,1.1075280951616793
121,11/10/86,0.5%,,1.1130657356374876
122,11/11/86,1.1%,,1.1253094587294998
123,11/12/86,-0.6%,,1.1185576019771228
124,11/13/86,-4.4%,,1.0693410674901294
125,11/14/86,1.9%,,1.0896585477724416
126,11/17/86,-1.6%,,1.0722240110080825
127,11/18/86,-7.9%,,0.987518314138444
128,11/19/86,1.0%,,0.9973934972798285
129,11/20/86,5.5%,,1.052250139630219
130,11/21/86,4.7%,,1.1017058961928392
131,11/24/86,2.0%,,1.123740014116696
132,11/25/86,0.7%,,1.1316061942155127
133,11/26/86,0.7%,,1.139527437575021
134,11/28/86,0.5%,,1.145225074762896
135,12/1/86,-0.2%,,1.1429346246133703
136,12/2/86,6.0%,,1.2115107020901725
137,12/3/86,-0.3%,,1.207876169983902
138,12/4/86,-0.9%,,1.1970052844540469
139,12/5/86,-2.3%,,1.1694741629116037
140,12/8/86,0.0%,,1.1694741629116037
141,12/9/86,-20.9%,,0.9250540628630786
142,12/10/86,2.0%,,0.9435551441203401
143,12/11/86,-3.3%,,0.9124178243643689
144,12/12/86,-1.1%,,0.9023812282963608
145,12/15/86,1.0%,,0.9114050405793244
146,12/16/86,2.2%,,0.9314559514720695
147,12/17/86,-3.0%,,0.9035122729279074
148,12/18/86,-1.0%,,0.8944771501986283
149,12/19/86,3.5%,,0.9257838504555802
150,12/22/86,-1.3%,,0.9137486603996576
151,12/23/86,-3.0%,,0.8863362005876679
152,12/24/86,0.7%,,0.8925405539917816
153,12/26/86,0.1%,,0.8934330945457732
154,12/29/86,-2.8%,,0.8684169678984915
155,12/30/86,-5.2%,,0.82325928556777
156,12/31/86,-1.6%,,0.8100871369986856
157,1/2/87,5.4%,,0.8538318423966147
158,1/5/87,6.9%,,0.9127462395219811
159,1/6/87,0.7%,,0.9191354631986348
160,1/7/87,2.9%,,0.9457903916313951
161,1/8/87,2.2%,,0.9665977802472858
162,1/9/87,1.7%,,0.9830299425114896
163,1/12/87,1.7%,,0.9997414515341848
164,1/13/87,-0.5%,,0.9947427442765139
165,1/14/87,3.1%,,1.0255797693490858
166,1/15/87,3.2%,,1.0583983219682567
167,1/16/87,0.9%,,1.067923906865971
168,1/19/87,3.4%,,1.104233319699414
169,1/20/87,-0.4%,,1.0998163864206165
170,1/21/87,-1.4%,,1.0844189570107279
171,1/22/87,6.8%,,1.1581594460874574
172,1/23/87,-4.1%,,1.1106749087978716
173,1/26/87,-0.7%,,1.1029001844362865
174,1/27/87,4.6%,,1.1536335929203556
175,1/28/87,1.7%,,1.1732453640000016
176,1/29/87,-1.2%,,1.1591664196320015
177,1/30/87,-0.3%,,1.1556889203731056
178,2/2/87,2.5%,,1.1845811433824331
179,2/3/87,-0.4%,,1.1798428188089034
180,2/4/87,4.0%,,1.2270365315612597
181,2/5/87,1.8%,,1.2491231891293624
182,2/6/87,-1.2%,,1.23413371085981
183,2/9/87,-1.9%,,1.2106851703534736
184,2/10/87,-3.4%,,1.1695218745614555
185,2/11/87,2.7%,,1.2010989651746147
186,2/12/87,-2.1%,,1.1758758869059478
187,2/13/87,4.4%,,1.2276144259298096
188,2/17/87,6.0%,,1.3012712914855982
189,2/18/87,0.0%,,1.3012712914855982
190,2/19/87,0.1%,,1.3025725627770837
191,2/20/87,-0.1%,,1.3012699902143066
192,2/23/87,-3.1%,,1.260930620517663
193,2/24/87,0.5%,,1.267235273620251
194,2/25/87,1.1%,,1.2811748616300735
195,2/26/87,-1.1%,,1.2670819381521428
196,2/27/87,1.1%,,1.2810198394718162
197,3/2/87,-1.2%,,1.2656476013981544
198,3/3/87,1.2%,,1.2808353726149322
199,3/4/87,4.7%,,1.341034635127834
200,3/5/87,1.9%,,1.3665142931952627
201,3/6/87,0.1%,,1.3678808074884579
202,3/9/87,-2.5%,,1.3336837873012464
203,3/10/87,2.6%,,1.3683595657710788
204,3/11/87,-0.6%,,1.3601494083764523
205,3/12/87,0.9%,,1.3723907530518402
206,3/13/87,-1.4%,,1.3531772825091144
207,3/16/87,-1.9%,,1.3274669141414412
208,3/17/87,4.4%,,1.3858754583636648
209,3/18/87,0.3%,,1.3900330847387556
210,3/19/87,1.4%,,1.4094935479250983
211,3/20/87,4.0%,,1.4658732898421023
212,3/23/87,3.0%,,1.5098494885373654
213,3/24/87,0.5%,,1.517398735980052
214,3/25/87,-1.1%,,1.5007073498842713
215,3/26/87,0.5%,,1.5082108866336925
216,3/27/87,-4.8%,,1.4358167640752753
217,3/30/87,-7.1%,,1.3338737738259308
218,3/31/87,2.5%,,1.367220618171579
219,4/1/87,0.7%,,1.3767911624987799
220,4/2/87,1.3%,,1.394689447611264
221,4/3/87,6.8%,,1.48952833004883
222,4/6/87,1.6%,,1.5133607833296112
223,4/7/87,-5.3%,,1.4331526618131418
224,4/8/87,0.6%,,1.4417515777840206
225,4/9/87,-4.5%,,1.3768727567837395
226,4/10/87,-0.3%,,1.3727421385133882
227,4/13/87,-7.2%,,1.2739047045404241
228,4/14/87,-6.7%,,1.1885530893362157
229,4/15/87,5.5%,,1.2539235092497074
230,4/16/87,2.6%,,1.2865255204901997
231,4/20/87,-1.0%,,1.2736602652852977
232,4/21/87,0.0%,,1.2736602652852977
233,4/22/87,1.2%,,1.2889441884687214
234,4/23/87,-0.5%,,1.2824994675263777
235,4/24/87,-5.6%,,1.2106794973449004
236,4/27/87,0.3%,,1.214311535836935
237,4/28/87,0.7%,,1.2228117165877934
238,4/29/87,2.2%,,1.2497135743527248
239,4/30/87,4.0%,,1.2997021173268337
240,5/1/87,-0.4%,,1.2945033088575264
241,5/4/87,1.3%,,1.3113318518726742
242,5/5/87,6.3%,,1.3939457585406525
243,5/6/87,0.2%,,1.3967336500577339
244,5/7/87,-0.5%,,1.3897499818074452
245,5/8/87,-1.4%,,1.370293482062141
246,5/11/87,-1.8%,,1.3456281993850225
247,5/12/87,1.7%,,1.3685038787745678
248,5/13/87,0.7%,,1.3780834059259897
249,5/14/87,0.3%,,1.3822176561437676
250,5/15/87,-6.9%,,1.2868446378698477
251,5/18/87,-1.0%,,1.2739761914911492
252,5/19/87,-7.2%,,1.1822499057037863
253,5/20/87,-1.5%,,1.1645161571182294
254,5/21/87,2.1%,,1.1889709964177122
255,5/22/87,2.2%,,1.2151283583389019
256,5/26/87,7.3%,,1.3038327284976416
257,5/27/87,-0.4%,,1.298617397583651
258,5/28/87,2.0%,,1.3245897455353242
259,5/29/87,-0.7%,,1.3153176173165768
260,6/1/87,-0.3%,,1.3113716644646272
261,6/2/87,-1.5%,,1.2917010894976577
262,6/3/87,5.2%,,1.3588695461515359
263,6/4/87,1.7%,,1.3819703284361118
264,6/5/87,-1.8%,,1.3570948625242618
265,6/8/87,3.3%,,1.4018789929875624
266,6/9/87,0.7%,,1.4116921459384753
267,6/10/87,0.2%,,1.4145155302303523
268,6/11/87,1.3%,,1.4329042321233467
269,6/12/87,2.8%,,1.4730255506228005
270,6/15/87,1.4%,,1.4936479083315197
271,6/16/87,1.6%,,1.517546274864824
272,6/17/87,0.1%,,1.5190638211396887
273,6/18/87,0.8%,,1.5312163317088063
274,6/19/87,1.2%,,1.549590927689312
275,6/22/87,2.5%,,1.5883307008815448
276,6/23/87,-1.3%,,1.5676824017700848
277,6/24/87,-1.4%,,1.5457348481453035
278,6/25/87,2.0%,,1.5766495451082096
279,6/26/87,-1.8%,,1.5482698532962618
280,6/29/87,0.7%,,1.5591077422693354
281,6/30/87,-3.8%,,1.4998616480631006
282,7/1/87,-1.1%,,1.4833631699344065
283,7/2/87,2.7%,,1.5234139755226355
284,7/6/87,-0.8%,,1.5112266637184544
285,7/7/87,2.4%,,1.5474961036476973
286,7/8/87,0.8%,,1.559876072476879
287,7/9/87,-0.8%,,1.547397063897064
288,7/10/87,0.8%,,1.5597762404082405
289,7/13/87,-0.9%,,1.5457382542445663
290,7/14/87,3.0%,,1.5921104018719034
291,7/15/87,-0.3%,,1.5873340706662877
292,7/16/87,2.2%,,1.622255420220946
293,7/17/87,1.8%,,1.6514560177849231
294,7/20/87,-3.1%,,1.6002608812335906
295,7/21/87,-2.8%,,1.55545357655905
296,7/22/87,-0.1%,,1.553898122982491
297,7/23/87,-0.6%,,1.5445747342445961
298,7/24/87,1.3%,,1.5646542057897757
299,7/27/87,1.2%,,1.583430056259253
300,7/28/87,1.7%,,1.61034836721566
