Date,Open,High,Low,Close,Adj Close,Volume,open_moving_avg_50
2016-08-30,24.7575,24.862499,24.450001,24.657499,22.76741,4769200,23.64925018
2016-08-31,24.545,24.58,24.15,24.452499,22.578125,4132800,23.701350159999997
2016-09-01,24.452499,24.575001,24.0,24.459999,22.585052,4662400,23.751500139999997
2016-09-02,24.77,24.952499,24.5625,24.7775,22.878216,4949600,23.801050139999997
2016-09-06,24.905001,25.025,24.6075,25.012501,23.0952,4488400,23.89345016
2016-09-07,24.940001,25.067499,24.754999,25.0075,23.090582,3725600,23.998100179999998
2016-09-08,24.865,24.969999,24.702499,24.8225,22.919765,3178400,24.10230016
2016-09-09,24.3025,24.309999,23.022499,23.025,21.26005,8130800,24.17585016
2016-09-12,22.754999,24.174999,22.709999,24.030001,22.188013,8086800,24.20480012
2016-09-13,23.532499,23.620001,22.747499,22.985001,21.223118,9060400,24.23575008
2016-09-14,23.0,23.455,22.737499,22.942499,21.183872,5171600,24.25875008
2016-09-15,22.889999,23.785,22.8325,23.637501,21.8256,5882000,24.286800080000003
2016-09-16,23.4,23.465,23.0975,23.3475,21.557833,4321600,24.311750079999996
2016-09-19,23.620001,23.855,23.25,23.3675,21.5763,6420800,24.3341501
2016-09-20,23.6975,23.754999,23.365,23.377501,21.585529,3504800,24.3442001
2016-09-21,23.639999,24.227501,23.3825,24.145,22.294197,6676400,24.34450008
2016-09-22,24.5625,24.73,24.459999,24.6,22.714319,4320800,24.35770008
2016-09-23,24.455,24.502501,24.172501,24.1975,22.342678,3593200,24.361900060000004
2016-09-26,23.889999,23.945,23.5425,23.625,21.814058,6629200,24.35230002
2016-09-27,23.557501,24.0875,23.4125,24.055,22.211098,3959200,24.341950020000002
2016-09-28,24.147499,24.4625,23.762501,24.415001,22.543503,4882800,24.343850000000003
2016-09-29,24.33,24.477501,23.545,23.727501,21.908709,8038800,24.34390002
2016-09-30,24.049999,24.5375,23.9625,24.295,22.432701,5385600,24.33695002
2016-10-03,24.105,24.172501,23.8475,24.065001,22.220331,3846000,24.334
2016-10-04,24.135,24.2225,23.49,23.747499,21.92717,5207600,24.32859998
2016-10-05,23.965,24.205,23.9375,24.022499,22.181087,3939200,24.32289998
2016-10-06,23.945,24.1625,23.7325,24.09,22.243412,2600800,24.312399999999997
2016-10-07,24.182501,24.252501,23.549999,23.842501,22.014889,5418400,24.31225
2016-10-10,24.190001,24.379999,24.137501,24.1875,22.333439,4122400,24.311450020000002
2016-10-11,24.0375,24.049999,23.0,23.305,21.518589,8120000,24.30260002
